onset,duration,description
0,80,ignore
80000000000,5,happy
85000000000,5,happy
90000000000,5,happy
95000000000,5,happy
1.00E+11,5,happy
1.05E+11,5,happy
1.10E+11,5,happy
1.15E+11,5,happy
1.20E+11,5,happy
1.25E+11,5,happy
1.30E+11,5,happy
1.35E+11,5,happy
1.40E+11,5,happy
1.45E+11,5,happy
1.50E+11,75,ignore
2.25E+11,5,sad
2.30E+11,5,sad
2.35E+11,5,sad
2.40E+11,5,sad
2.45E+11,5,sad
2.50E+11,5,sad
2.55E+11,5,sad
2.60E+11,5,sad
2.65E+11,5,sad
2.70E+11,5,sad
2.75E+11,5,sad
2.80E+11,60,ignore
3.40E+11,5,happy
3.45E+11,5,happy
3.50E+11,5,happy
3.55E+11,5,happy
3.60E+11,5,happy
3.65E+11,5,happy
3.70E+11,5,happy
3.75E+11,5,happy
3.80E+11,5,happy
3.85E+11,5,happy
3.90E+11,5,happy
3.95E+11,5,happy
4.00E+11,5,happy
4.05E+11,5,happy
4.10E+11,5,happy
4.15E+11,5,happy
4.20E+11,40,ignore
4.60E+11,5,sad
4.65E+11,5,sad
4.70E+11,5,sad
4.75E+11,5,sad
4.80E+11,5,sad
4.85E+11,5,sad
4.90E+11,5,sad
4.95E+11,5,sad
5.00E+11,5,sad
5.05E+11,5,sad
5.10E+11,5,sad
5.15E+11,5,sad
5.20E+11,5,sad
5.25E+11,5,sad
5.30E+11,5,sad
